"Carprofen_label","LPS_dose","mean_conc","sd_conc","sem_conc","n"
"C0","L0",96.0587889535008,11.0619505153922,5.53097525769608,4
"C0","L1",135.827857705432,59.9156291331439,29.957814566572,4
"C0","L10",143.861899938615,23.4532633971531,11.7266316985766,4
"C0","L100",199.466759854704,45.6041478515297,22.8020739257648,4
"C1","L0",85.6025736558005,8.17652099012425,4.08826049506213,4
"C1","L1",82.0913373928395,11.8890161395914,5.94450806979568,4
"C1","L10",87.4842417208633,16.3586308702882,8.17931543514408,4
"C1","L100",91.9510785418882,24.2533250578375,12.1266625289188,4
"C10","L0",96.4304991746492,15.4468427127294,7.72342135636469,4
"C10","L1",86.0188817671114,8.05217465196646,4.02608732598323,4
"C10","L10",89.0198629241212,8.70145582152872,4.35072791076436,4
"C10","L100",94.9532420151573,16.3335481289556,8.1667740644778,4
"C100","L0",140.010509773601,12.024315925434,6.01215796271699,4
"C100","L1",137.550357223875,17.5284683327622,8.76423416638108,4
"C100","L10",129.735815847333,22.9441576133754,11.4720788066877,4
"C100","L100",125.411003143074,25.3797390523864,12.6898695261932,4
