"Experiment","Drug","Infection","mean_conc","sd_conc","n"
"","","",80.9023579282808,59.3619823422577,23
"Exp1","C0","L0",108.03348228475,NA,1
"Exp1","C0","L1",97.6220817842535,NA,1
"Exp1","C0","L10",108.720566237509,NA,1
"Exp1","C0","L100",102.6954698658,NA,1
"Exp1","C1","L0",147.29927821157,NA,1
"Exp1","C1","L1",123.500247973357,NA,1
"Exp1","C1","L10",131.731916556774,NA,1
"Exp1","C1","L100",137.883654234242,NA,1
"Exp1","C10","B0",81.6453052620946,NA,1
"Exp1","C10","B1",82.1738037081504,NA,1
"Exp1","C10","B10",104.664921132591,NA,1
"Exp1","C10","B100",136.983783089496,NA,1
"Exp1","C10","L0",104.664921132591,NA,1
"Exp1","C10","L1",118.846024367345,NA,1
"Exp1","C10","L10",173.566883902358,NA,1
"Exp1","C10","L100",159.713902217252,NA,1
"Exp1","C100","B0",92.7908290208735,NA,1
"Exp1","C100","B1",79.5591909744326,NA,1
"Exp1","C100","B10",100.763203296144,NA,1
"Exp1","C100","B100",108.720566237509,NA,1
"Exp1","C100","L0",89.3141298788106,NA,1
"Exp1","C100","L1",87.620176812369,NA,1
"Exp1","C100","L10",96.3923912410852,NA,1
"Exp1","C100","L100",107.350924056455,NA,1
"Exp2","C0","B0",89.3141298788106,NA,1
"Exp2","C0","B1",93.3822014216618,NA,1
"Exp2","C0","B10",97.005366922271,NA,1
"Exp2","C0","B100",87.620176812369,NA,1
"Exp2","C0","L0",43.9630378060879,NA,1
"Exp2","C0","L1",43.2412241944471,NA,1
"Exp2","C0","L10",37.2857056369112,NA,1
"Exp2","C0","L100",36.604605662001,NA,1
"Exp2","C1","B0",125.09751710793,NA,1
"Exp2","C1","B1",129.196631247558,NA,1
"Exp2","C1","B10",103.347759819734,NA,1
"Exp2","C1","B100",124.295931930579,NA,1
"Exp2","C1","L0",71.6309829574012,NA,1
"Exp2","C1","L1",63.4155900382911,NA,1
"Exp2","C1","L10",64.2952766321604,NA,1
"Exp2","C1","L100",63.4155900382911,NA,1
"Exp2","C10","B0",45.7888058284476,NA,1
"Exp2","C10","B1",49.5368516342036,NA,1
"Exp2","C10","B10",47.6461944575215,NA,1
"Exp2","C10","B100",55.8307355064408,NA,1
"Exp2","C10","L0",94.5754967625608,NA,1
"Exp2","C10","L1",107.350924056455,NA,1
"Exp2","C10","L10",125.905078497003,NA,1
"Exp2","C10","L100",166.443823920946,NA,1
"Exp2","C100","B0",36.944677152836,NA,1
"Exp2","C100","B1",28.3789135909269,NA,1
"Exp2","C100","B10",47.6461944575215,NA,1
"Exp2","C100","B100",51.851954377814,NA,1
"Exp2","C100","L0",80.0765936446606,NA,1
"Exp2","C100","L1",66.0785467565412,NA,1
"Exp2","C100","L10",64.2952766321604,NA,1
"Exp2","C100","L100",56.2373472139857,NA,1
"Exp3","C0","L0",25.6432438397002,36.1402174177055,2
"Exp3","C0","L1",21.7251678661704,30.5841834408173,2
"Exp3","C0","L10",29.3928170391139,41.296017283617,2
"Exp3","C0","L100",29.8318159096153,41.8972937576829,2
"Exp3","C1","L0",86.3479889162543,121.776630631639,2
"Exp3","C1","L1",44.98651519059,63.3186164850528,2
"Exp3","C1","L10",37.3834804737715,52.6609408834894,2
"Exp3","C1","L100",35.0575584434177,49.5335851418365,2
"Exp3","C10","B0",37.6156253166598,53.066092282636,2
"Exp3","C10","B1",19.8190618236798,27.8841361769501,2
"Exp3","C10","B10",24.9061661683508,34.9824166008006,2
"Exp3","C10","B100",54.6926002618542,77.0390757151213,2
"Exp3","C10","L0",42.5542440648925,60.0469086702002,2
"Exp3","C10","L1",49.0908071906472,69.1706047262776,2
"Exp3","C10","L10",63.4878690027864,89.4318743962713,2
"Exp3","C10","L100",113.436689129829,159.878452642683,2
"Exp3","C100","B0",26.4905477499556,37.1855286070266,2
"Exp3","C100","B1",25.0855567079336,35.2747725637651,2
"Exp3","C100","B10",27.8748263673205,39.2627703802508,2
"Exp3","C100","B100",67.6593998454399,NA,1
"Exp3","C100","L0",49.7794238070008,70.0789549516399,2
"Exp3","C100","L1",49.0859624706725,69.1774561949717,2
"Exp3","C100","L10",52.8834647913262,74.4773330609245,2
"Exp3","C100","L100",100.004819012704,NA,1
"Exp3","DMSO","DMSO_0",56.9070621199612,80.2924372363382,2
"Exp3","DMSO","DMSO_1",46.4759582719446,65.5807885574913,2
"Exp3","DMSO","DMSO_10",40.3003892857578,56.8431070688208,2
"Exp3","DMSO","DMSO_100",41.7134166541671,58.8030753605324,2
"Exp4","C0","B0",56.1226158595523,79.2433084312807,2
"Exp4","C0","B1",39.2364032316241,55.2649431167245,2
"Exp4","C0","B10",47.168622758514,66.387962438793,2
"Exp4","C0","B100",60.5218989332565,85.2877689180371,2
"Exp4","C0","L0",36.8264818378115,51.9942964193968,2
"Exp4","C0","L1",20.3453318109569,28.5850275428818,2
"Exp4","C0","L10",19.8596480780595,27.8267385455604,2
"Exp4","C0","L100",21.4189011656272,30.0161757882742,2
"Exp4","C1","B0",72.341448158514,101.959313615172,2
"Exp4","C1","B1",81.5482833744527,114.925347012404,2
"Exp4","C1","B10",77.0173625403911,108.632014411939,2
"Exp4","C1","B100",53.8874874764176,76.1083123025029,2
"Exp4","C1","L0",46.5250696581329,65.5113345690768,2
"Exp4","C1","L1",42.033870514557,59.1559441011867,2
"Exp4","C1","L10",50.077856347651,70.6073877290131,2
"Exp4","C1","L100",47.088721738565,66.5009595448523,2
"Exp4","C10","B0",29.9562611128543,42.3371245899009,2
"Exp4","C10","B1",31.5787924273527,44.4447365492023,2
"Exp4","C10","B10",28.969612151382,40.6849402096157,2
"Exp4","C10","B100",51.1389071986458,71.9965731979743,2
"Exp4","C10","L0",54.2413127210814,76.6390152269757,2
"Exp4","C10","L1",110.694747432333,156.233613175772,2
"Exp4","C10","L10",79.2180979486703,111.75922852668,2
"Exp4","C10","L100",120.94730812572,170.612741940712,2
"Exp4","C100","B0",30.2757326477432,42.5043587379756,2
"Exp4","C100","B1",17.1840784505026,24.2160611646576,2
"Exp4","C100","B10",32.9766559041904,46.3736664364045,2
"Exp4","C100","B100",56.0536249669909,NA,1
"Exp4","C100","L0",40.8835849443509,57.5874386129406,2
"Exp4","C100","L1",42.2872255437727,59.6086113754134,2
"Exp4","C100","L10",45.8382086865415,64.718645569912,2
"Exp4","C100","L100",112.156096614968,NA,1
